.,.,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.
#,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,.,#,.,.,.,#,.,.,.,#,.,.
.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.,.,#,.,.,.,.,#,.,.,#,.
.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#,.,.,#,.,#,.,.,.,#,.,#
.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,#,.,.,#,.,.,.,#,#,.,.,#,.
.,.,#,.,#,#,.,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,.,#,.,#,#,.,.,.,.,.
.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#
.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,#
#,.,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.,#,.,#,#,.,.,.,#,.,.,.
#,.,.,.,#,#,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#,#,.,.,.,#,#,.,.,.,.,#
.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#,.,#,.,.,#,.,.,.,#,.,#
